Iterações do Simplex
================================================================================
=== Iteracao: 0 ===
             VB        x1        x2        x3        x4        x5        x6        x7        x8        x9       x10       x11        w1        w2        w3        w4        w5        w6        w7        w8        w9       w10       w11       w12       w13       w14       w15       w16       w17       w18       w19       w20       w21       w22       w23       w24       w25       w26       w27       w28       w29        a1        a2         b
            w12     -1.71     -4.43     -5.29      0.00     10.00      2.43      4.43      0.57     -0.57      4.57      2.14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     -0.29      0.00     71.57
            w13      7.43     -7.14      0.57      0.00      0.00      5.14      6.14      4.86     -4.86      5.86     -1.29      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     -0.43      0.00     61.86
            w14      0.57     -8.86     -6.57      0.00      9.00      4.86      2.86      0.14     -0.14     -1.86     -0.71      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     -0.57      0.00     33.14
            w15      3.00     -9.00     -2.00      0.00      7.00      5.00      1.00      8.00     -8.00      4.00      8.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     44.00
            w16     -0.57     -6.14     -5.43      0.00      2.00      4.14      8.14      0.86     -0.86      0.86      1.71      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     -0.43      0.00     26.86
            w17     -4.14     -5.29     -3.86      0.00      9.00     -1.71      1.29      2.71     -2.71      0.71      0.43      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     -0.86      0.00     23.71
            w18      0.29     -5.43      0.71      0.00      3.00      0.43      4.43     -5.43      5.43     -4.43     -3.86      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     -1.29      0.00     80.57
            w19     -2.14     -6.29      0.14      0.00      9.00      0.29     -1.71     -1.29      1.29      5.71     -8.57      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     -0.86      0.00     95.71
            w20      0.43     -5.14      2.57      0.00      5.00      7.14      4.14     -5.14      5.14     -1.14    -12.29      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     -1.43      0.00     35.86
            w21     -7.57     -6.14      8.57      0.00      3.00      3.14      2.14     -1.14      1.14      1.86    -10.29      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     -1.43      0.00     70.86
            w22      1.00     -1.00      0.00      0.00      4.00      8.00      3.00     -4.00      4.00     -2.00     -2.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     -1.00      0.00     82.00
            w23     -1.29      1.43     -4.71      0.00      0.00      8.57      4.57      6.43     -6.43      2.43      2.86      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00     -0.71      0.00      3.43
            w24      0.43     -1.14      3.57      0.00      7.00      4.14      6.14     -2.14      2.14     -7.14     -9.29      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00     -1.43      0.00     89.86
            w25      2.29     -6.43     -5.29      0.00      0.00      0.43      5.43     -1.43      1.43      8.57      3.14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      1.00      0.00      0.00      0.00      0.00     -0.29      0.00     66.57
            w26     -1.29      1.43      2.29      0.00      5.00      5.57      8.57      1.43     -1.43      1.43      2.86      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      1.00      0.00      0.00      0.00     -0.71      0.00     50.43
            w27     -3.71     -7.43      0.71      0.00     10.00      1.43      2.43     -0.43      0.43      0.57     -3.86      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      1.00      0.00      0.00     -1.29      0.00     41.57
            w28      1.43      0.86     -5.43      0.00      0.00      6.14      3.14      2.86     -2.86      7.86      0.71      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      1.00      0.00     -0.43      0.00     41.86
             a2     -3.00     -2.00      4.00      0.00      5.00      1.00      3.00     -2.00      2.00     -2.00     -8.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     -1.00     -1.00      1.00     33.00
              Z3000005.862000004.71-3999999.86      0.00-5000004.00-1000003.71-2999998.711999995.71-1999995.711999996.718000003.43      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.001000000.002000001.14      0.00-32999994.29

=== Iteracao: 2 ===
             VB        x1        x2        x3        x4        x5        x6        x7        x8        x9       x10       x11        w1        w2        w3        w4        w5        w6        w7        w8        w9       w10       w11       w12       w13       w14       w15       w16       w17       w18       w19       w20       w21       w22       w23       w24       w25       w26       w27       w28       w29        a1        a2         b
             x4      0.86     -0.29     -0.86      1.00      0.00      0.29      0.29      0.71     -0.71      0.71      1.43      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.14      0.00      0.71
             w1     -6.33     -4.67     -1.00      0.00      0.00      1.00      1.00     -1.33      1.33     -0.67     -5.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     -0.33      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     -1.00      0.00     45.67
